modelKey,company,productFamily,asin,month,split,actualSales,predictedSales,actualRevenue,predictedRevenue,priceUsedForRevenue
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2026-05,train,9732.291666666666,12074.094075073488,222869.47916666663,276496.7543191828,22.89999999999999
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-06,train,288.7,327.4896889979687,5482.413,6219.029194071428,18.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-07,train,355.258064516129,407.86796262661295,6560.126129032257,7495.560590592951,18.377419354838715
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-08,train,474.96774193548384,475.6792981186219,8724.986129032257,8741.757939941257,18.377419354838715
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-09,train,534.2666666666667,510.6666251198013,9792.509999999998,9374.307237324196,18.357000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-10,train,536,477.8277870242148,9937.523870967741,8898.23236036158,18.62225806451613
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-11,train,505.8666666666667,532.4419225614881,7123.967666666665,7751.6444699318545,14.55866666666667
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2025-12,train,453.16129032258067,468.4872305965431,7305.636774193546,7461.641459185073,15.927096774193553
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2026-01,train,465.4516129032258,433.30867525416915,8566.940322580645,7963.095235235492,18.377419354838715
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2026-02,train,521.3571428571429,478.1549432268675,9900.572142857143,9080.162371878216,18.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2026-03,train,596.6774193548387,493.5619402563522,10674.97516129032,8949.233258022357,18.131935483870972
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2026-04,train,495.1333333333333,407.87170492920393,9402.582,7745.483676605585,18.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVHVB9DY,2026-05,train,489.25,335.60425387121575,9290.8575,6373.124781014389,18.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-06,train,1355.7666666666667,1177.023955354446,40659.44233333333,35298.94842107984,29.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-07,train,1576.5483870967741,1179.3143767512242,47280.68612903225,35367.63815876922,29.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-08,train,1384.0645161290322,1521.9170944947732,40186.58387096774,44147.37832430582,29.007741935483885
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-09,train,1656.9333333333334,1537.113922815167,49658.291999999994,46067.30426677058,29.97000000000002
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-10,train,1956.483870967742,1587.9763037680261,52533.75129032257,42770.86111594039,26.934193548387114
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-11,train,1962.3333333333333,1513.9820381860234,51204.17666666665,39856.58647660588,26.32566666666668
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2025-12,train,1910.1935483870968,1371.859058317821,54853.672258064515,39409.08539367,28.726774193548405
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2026-01,train,1969.741935483871,1608.4142129174427,54264.357419354834,44326.85802141576,27.55935483870969
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2026-02,train,1840.25,1515.3412241904273,55152.292499999996,45414.77648898714,29.97000000000002
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2026-03,train,2271.7096774193546,1843.7745276733071,63082.45741935485,51334.251446284914,27.841935483870984
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2026-04,train,2422.4666666666667,1825.2528401481761,72123.52599999998,54337.77705121124,29.77000000000002
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DVJ7BLQ7,2026-05,train,2334.5416666666665,1449.2218586587207,69966.21375000001,43433.17910400189,29.970000000000017
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-06,train,2.533333333333333,2.9616631714186434,203.84133333333318,257.4376350702798,86.9233333333333
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-07,train,2.3225806451612905,1.9076166645473476,249.33193548387092,201.81968950696552,105.7967741935483
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-08,train,1.4838709677419355,3.7828695406713586,49.027419354838706,100.05323850926646,26.449032258064516
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-09,train,0.8666666666666667,1.6141642787166333,84.32566666666663,159.78773611443816,98.99099999999994
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-10,train,1.064516129032258,1.961854281797902,109.99,173.67156815560935,88.52419354838705
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-11,train,1.3666666666666667,1.8276534375114257,133.78366666666662,177.0338225711067,96.86399999999998
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2025-12,train,2.032258064516129,2.179201544107478,212.3441935483871,225.63804271808854,103.54161290322585
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2026-01,train,1.7419354838709677,2.4625915627719683,182.13483870967733,256.17704520016696,104.02741935483863
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2026-02,train,1.9285714285714286,2.4546393407797953,204.26642857142846,260.0532583312856,105.94357142857136
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2026-03,train,1.8064516129032258,2.811990766932128,190.5658064516128,295.82052158746393,105.19967741935479
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2026-04,train,2.066666666666667,2.9329669127334532,227.3126666666666,322.5970307315523,109.98999999999992
family:coway:Other:family_adjusted,coway,Other,B00CCVNX0O,2026-05,train,2.32,2.8579555093086007,255.17679999999984,314.34652646885286,109.98999999999995
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-06,train,0.03333333333333333,1.5328511574038726,10.333,93.50136584970723,60.998333333333335
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-07,train,0.5161290322580645,0.6803504552827134,145.158064516129,167.88920397855992,246.76870967741925
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-08,train,0.2903225806451613,0.6229952015426624,41.82032258064516,88.81881815438499,142.56741935483868
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-09,train,0.8,0.7213588325721645,231.96433333333326,179.16725958716708,248.37466666666657
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-10,train,1,1.0515810196812578,345.73032258064507,355.5598959352592,338.1193548387095
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-11,train,0.9666666666666667,0.9222409768406314,179.99333333333328,179.8305347970852,194.99299999999994
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2025-12,train,0.7741935483870968,1.1173299071484586,101.61064516129031,129.7515573981251,116.1264516129032
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2026-01,train,0.7419354838709677,1.0346451359100177,150.18870967741933,197.34187185006311,190.7338709677419
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2026-02,train,0.5357142857142857,1.4087836165793655,30.695714285714285,102.3808336498758,72.6732142857143
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2026-03,train,0.2903225806451613,1.0296755390415997,60.95129032258065,192.80873760593758,187.25193548387088
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2026-04,train,0.3333333333333333,1.0215706664545956,94.98033333333335,229.9698590082598,225.11399999999998
family:coway:Other:family_adjusted,coway,Other,B00NJ12KAU,2026-05,train,0.28,0.9483351736347447,91.6,156.43964624720422,164.9624
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2025-07,train,0.45161290322580644,0.851964487479601,209.33709677419353,275.6283754711626,323.5209677419355
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2025-08,train,0.6129032258064516,0.9501722656030402,279.76387096774187,450.14656288689997,473.75258064516134
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2025-09,train,0.7666666666666667,1.0356122197701998,363.8033333333333,476.54939027389474,460.16200000000003
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2025-10,train,0.8709677419354839,1.071422134506666,346.88387096774187,444.8717512493371,415.216129032258
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2025-11,train,1.0666666666666667,0.987528313286882,362.21733333333333,333.01232274997574,337.21799999999996
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2025-12,train,1.064516129032258,0.969949584544422,389.1825806451612,373.3545585176526,384.9216129032257
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2026-01,train,0.5806451612903226,1.0683513480930655,190.95290322580644,279.907708570916,261.9996774193548
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2026-02,train,0.5,1.171274838846102,130.825,239.09902585273392,204.13571428571427
family:coway:Other:family_adjusted,coway,Other,B00NUB6ARI,2026-03,train,0.6774193548387096,1.1184500671466548,292.0016129032258,447.6957184098728,400.28225806451627
