company,company_label,stock_ticker,date,month,close,adj_close,volume,month_return,index_100
"samyang","Samyang Foods","003230.KS","2024-05-31","2024-05","529000","524420.88","76712","79.02","608.96"
"samyang","Samyang Foods","003230.KS","2024-06-28","2024-06","669000","663209","99543","26.47","770.12"
"samyang","Samyang Foods","003230.KS","2024-07-31","2024-07","617000","611659.06","110568","7.77","710.26"
"samyang","Samyang Foods","003230.KS","2024-08-30","2024-08","494500","491694.59","126530","19.61","570.96"
"samyang","Samyang Foods","003230.KS","2024-09-30","2024-09","543000","539919.44","73284","9.81","626.96"
"samyang","Samyang Foods","003230.KS","2024-10-31","2024-10","520000","517049.94","38195","4.24","600.4"
"samyang","Samyang Foods","003230.KS","2024-11-29","2024-11","519000","516055.56","31912","0.19","599.24"
"samyang","Samyang Foods","003230.KS","2024-12-30","2024-12","765000","760659.94","41797","47.4","883.28"
"samyang","Samyang Foods","003230.KS","2025-01-31","2025-01","684000","680119.56","68996","10.59","789.76"
"samyang","Samyang Foods","003230.KS","2025-02-28","2025-02","860000","856881.75","53378","25.99","995.01"
"samyang","Samyang Foods","003230.KS","2025-03-31","2025-03","860000","856881.75","54540","0","995.01"
"samyang","Samyang Foods","003230.KS","2025-04-30","2025-04","970000","966482.94","21719","12.79","1122.28"
"samyang","Samyang Foods","003230.KS","2025-05-30","2025-05","1111000","1106971.62","437404","14.54","1285.42"
"samyang","Samyang Foods","003230.KS","2025-06-30","2025-06","1395000","1389941.88","70693","25.56","1614"
"samyang","Samyang Foods","003230.KS","2025-07-31","2025-07","1442000","1436771.5","77820","3.37","1668.38"
"samyang","Samyang Foods","003230.KS","2025-08-29","2025-08","1566000","1562724.38","33383","8.77","1814.64"
"samyang","Samyang Foods","003230.KS","2025-09-30","2025-09","1529000","1525801.75","44696","2.36","1771.76"
"samyang","Samyang Foods","003230.KS","2025-10-31","2025-10","1348000","1345180.38","73679","11.84","1562.03"
"samyang","Samyang Foods","003230.KS","2025-11-28","2025-11","1445000","1441977.5","33184","7.2","1674.43"
"samyang","Samyang Foods","003230.KS","2025-12-30","2025-12","1231000","1228425.12","38391","14.81","1426.45"
"samyang","Samyang Foods","003230.KS","2026-01-30","2026-01","1180000","1177531.75","113778","4.14","1367.35"
"samyang","Samyang Foods","003230.KS","2026-02-27","2026-02","1221000","1221000","83237","3.69","1417.83"
"samyang","Samyang Foods","003230.KS","2026-03-31","2026-03","1200000","1200000","97851","1.72","1393.44"
"samyang","Samyang Foods","003230.KS","2026-04-30","2026-04","1341000","1341000","64873","11.75","1557.17"
"samyang","Samyang Foods","003230.KS","2026-05-27","2026-05","1237000","1237000","76757","7.76","1436.41"
"tnl","T&L","340570.KQ","2021-05-31","2021-05","31800","29428.71","259918",,"100"
"tnl","T&L","340570.KQ","2021-06-30","2021-06","44050","40765.25","217754","38.52","138.52"
"tnl","T&L","340570.KQ","2021-07-30","2021-07","37850","35027.57","148717","14.07","119.03"
"tnl","T&L","340570.KQ","2021-08-31","2021-08","51600","47752.25","204859","36.33","162.26"
"tnl","T&L","340570.KQ","2021-09-30","2021-09","56300","52101.78","151326","9.11","177.04"
"tnl","T&L","340570.KQ","2021-10-29","2021-10","44950","41598.14","168007","20.16","141.35"
"tnl","T&L","340570.KQ","2021-11-30","2021-11","37950","35120.12","97323","15.57","119.34"
"tnl","T&L","340570.KQ","2021-12-30","2021-12","47300","44172.66","182262","25.78","150.1"
"tnl","T&L","340570.KQ","2022-01-28","2022-01","39400","36794.98","93327","16.7","125.03"
"tnl","T&L","340570.KQ","2022-02-28","2022-02","39950","37308.61","91608","1.4","126.78"
"tnl","T&L","340570.KQ","2022-03-31","2022-03","43700","40810.67","71510","9.39","138.68"
"tnl","T&L","340570.KQ","2022-04-29","2022-04","39750","37121.84","21690","9.04","126.14"
"tnl","T&L","340570.KQ","2022-05-31","2022-05","36050","33666.47","13890","9.31","114.4"
"tnl","T&L","340570.KQ","2022-06-30","2022-06","30650","28623.51","46494","14.98","97.26"
"tnl","T&L","340570.KQ","2022-07-29","2022-07","35600","33246.23","65179","16.15","112.97"
"tnl","T&L","340570.KQ","2022-08-31","2022-08","34950","32639.21","25400","1.83","110.91"
"tnl","T&L","340570.KQ","2022-09-30","2022-09","37050","34600.36","43098","6.01","117.57"
"tnl","T&L","340570.KQ","2022-10-31","2022-10","36700","34273.5","12497","0.94","116.46"
"tnl","T&L","340570.KQ","2022-11-30","2022-11","34750","32452.43","9552","5.31","110.27"
"tnl","T&L","340570.KQ","2022-12-29","2022-12","36200","34225.64","70121","5.46","116.3"
"tnl","T&L","340570.KQ","2023-01-31","2023-01","38550","36447.48","38980","6.49","123.85"
"tnl","T&L","340570.KQ","2023-02-28","2023-02","44950","42498.42","130385","16.6","144.41"
"tnl","T&L","340570.KQ","2023-03-31","2023-03","46850","44294.79","68575","4.23","150.52"
"tnl","T&L","340570.KQ","2023-04-28","2023-04","45700","43207.52","25890","2.45","146.82"
"tnl","T&L","340570.KQ","2023-05-31","2023-05","56000","52945.75","54903","22.54","179.91"
"tnl","T&L","340570.KQ","2023-06-30","2023-06","54400","51433.01","132092","2.86","174.77"
"tnl","T&L","340570.KQ","2023-07-31","2023-07","49100","46422.07","62909","9.74","157.74"
"tnl","T&L","340570.KQ","2023-08-31","2023-08","48400","45760.25","48515","1.43","155.5"
"tnl","T&L","340570.KQ","2023-09-27","2023-09","42850","40512.95","32522","11.47","137.66"
"tnl","T&L","340570.KQ","2023-10-31","2023-10","44000","41600.23","57537","2.68","141.36"
"tnl","T&L","340570.KQ","2023-11-30","2023-11","42950","40607.5","40668","2.39","137.99"
"tnl","T&L","340570.KQ","2023-12-28","2023-12","40000","38336.45","59632","5.59","130.27"
"tnl","T&L","340570.KQ","2024-01-31","2024-01","40750","39055.26","44364","1.87","132.71"
"tnl","T&L","340570.KQ","2024-02-29","2024-02","49500","47441.36","58048","21.47","161.21"
"tnl","T&L","340570.KQ","2024-03-29","2024-03","53600","51370.85","121466","8.28","174.56"
"tnl","T&L","340570.KQ","2024-04-30","2024-04","60400","57888.04","64021","12.69","196.71"
"tnl","T&L","340570.KQ","2024-05-31","2024-05","66000","63255.14","313376","9.27","214.94"
"tnl","T&L","340570.KQ","2024-06-28","2024-06","70000","67088.8","66094","6.06","227.97"
"tnl","T&L","340570.KQ","2024-07-31","2024-07","60900","58367.25","59164","13","198.33"
"tnl","T&L","340570.KQ","2024-08-30","2024-08","69700","66801.27","92709","14.45","226.99"
"tnl","T&L","340570.KQ","2024-09-30","2024-09","73700","70634.91","64812","5.74","240.02"
"tnl","T&L","340570.KQ","2024-10-31","2024-10","67500","64692.76","54161","8.41","219.83"
"tnl","T&L","340570.KQ","2024-11-29","2024-11","60000","57504.68","32554","11.11","195.4"
"tnl","T&L","340570.KQ","2024-12-30","2024-12","66900","64888.98","73463","12.84","220.5"
"tnl","T&L","340570.KQ","2025-01-31","2025-01","78300","75946.3","76174","17.04","258.07"
"tnl","T&L","340570.KQ","2025-02-28","2025-02","75700","73424.45","92711","3.32","249.5"
"tnl","T&L","340570.KQ","2025-03-31","2025-03","75200","72939.48","37485","0.66","247.85"
"tnl","T&L","340570.KQ","2025-04-30","2025-04","71900","69738.68","33233","4.39","236.97"
"tnl","T&L","340570.KQ","2025-05-30","2025-05","62600","60718.24","51477","12.93","206.32"
"tnl","T&L","340570.KQ","2025-06-30","2025-06","59500","57711.42","72429","4.95","196.11"
"tnl","T&L","340570.KQ","2025-07-31","2025-07","61000","59166.33","97032","2.52","201.05"
"tnl","T&L","340570.KQ","2025-08-29","2025-08","53000","51406.81","29361","13.11","174.68"
"tnl","T&L","340570.KQ","2025-09-30","2025-09","49450","47963.53","19022","6.7","162.98"
"tnl","T&L","340570.KQ","2025-10-31","2025-10","46000","44617.23","58645","6.98","151.61"
"tnl","T&L","340570.KQ","2025-11-28","2025-11","46950","45538.68","28464","2.07","154.74"
"tnl","T&L","340570.KQ","2025-12-30","2025-12","49050","49050","22214","7.71","166.67"
"tnl","T&L","340570.KQ","2026-01-30","2026-01","55000","55000","136344","12.13","186.89"
"tnl","T&L","340570.KQ","2026-02-27","2026-02","54700","54700","31545","0.55","185.87"
"tnl","T&L","340570.KQ","2026-03-31","2026-03","49950","49950","28137","8.68","169.73"
"tnl","T&L","340570.KQ","2026-04-30","2026-04","61200","61200","52484","22.52","207.96"
"tnl","T&L","340570.KQ","2026-05-27","2026-05","61400","61400","65958","0.33","208.64"
